FBgn0010339 	 P32234
FBgn0020238 	 P92177
FBgn0004907 	 P29310
FBgn0010340 	 P81928
FBgn0027624 	 P04283
FBgn0044339 	 P04282
FBgn0014453 	 P04323
FBgn0027623 	 P20829
FBgn0044338 	 P20828
FBgn0027622 	 P20825
FBgn0043847 	 P10394
FBgn0004168 	 P28285
FBgn0263116 	 P28286
FBgn0004573 	 P20905
FBgn0011294 	 P54185
FBgn0023130 	 O46341
FBgn0011293 	 Q27377
FBgn0027885 	 Q9V431
FBgn0019643 	 Q94521
FBgn0031851 	 Q9VM95
FBgn0027090 	 Q9Y105
FBgn0023129 	 Q9VSY6
FBgn0264442 	 Q24174
FBgn0000014 	 P29555
FBgn0000015 	 P09087
FBgn0000017 	 P00522
FBgn0036372 	 Q9VU84
FBgn0015331 	 Q9V3C0
FBgn0000022 	 P10083
FBgn0004852 	 Q9VW60
FBgn0024150 	 Q9VP76
FBgn0011273 	 P49258
FBgn0010387 	 P42281
FBgn0012034 	 Q9VP61
FBgn0000024 	 P07140
FBgn0016122 	 Q9VLJ6
FBgn0000028 	 P24350
FBgn0263998 	 Q9I7F7
FBgn0014454 	 Q26416
FBgn0002855 	 P10333
FBgn0012494 	 P33735
FBgn0012820 	 P33737
FBgn0002856 	 P10334
FBgn0012495 	 P33738
FBgn0012821 	 P33740
FBgn0015583 	 O46197
FBgn0027418 	 Q9U968
FBgn0023415 	 O46203
FBgn0267327 	 O46227
FBgn0011559 	 Q9V3R1
FBgn0015584 	 O46199
FBgn0020509 	 O46202
FBgn0015585 	 O46200
FBgn0021369 	 P67806
FBgn0021129 	 P67807
FBgn0015586 	 Q9VVW1
FBgn0002863 	 P16548
FBgn0263597 	 O46201
FBgn0000042 	 P10987
FBgn0000043 	 P02572
FBgn0000044 	 P53501
FBgn0000045 	 P02574
FBgn0000046 	 P10981
FBgn0000047 	 P83967
FBgn0012823 	 P83968
FBgn0024913 	 O61643
FBgn0000667 	 P18091
FBgn0040506 	 Q9VK50
FBgn0025115 	 P56544
FBgn0038363 	 Q9VF36
FBgn0037661 	 Q9VHH7
FBgn0263738 	 Q7KSD8
FBgn0037555 	 Q8I8V0
FBgn0064448 	 Q8I1E5
FBgn0026086 	 Q9NII1
FBgn0028658 	 Q9V3R6
FBgn0012717 	 P16340
FBgn0020513 	 Q9I7S8
FBgn0284249 	 P05552
FBgn0000055 	 P00334
FBgn0012068 	 Q00669
FBgn0012073 	 P21518
FBgn0012099 	 P25139
FBgn0012113 	 Q50L96
FBgn0012225 	 P48584
FBgn0012243 	 Q00670
FBgn0012249 	 P22245
FBgn0016178 	 Q9NG42
FBgn0013805 	 P48585
FBgn0012324 	 Q09009
FBgn0012345 	 P51549
FBgn0012347 	 P21898
FBgn0012411 	 Q07588
FBgn0016214 	 Q9NG40
FBgn0012438 	 P10807
FBgn0012466 	 Q09010
FBgn0012496 	 P07162
FBgn0012519 	 P25721
FBgn0012535 	 Q00671
FBgn0012598 	 Q00672
